source,post_date,summary,dpi_uid,index
NIH,202405,,CKlAugBurjids0AR3vCAaq3qj4xgJkJM90jBgwmwu4k=,NIH202405
NIH,202404,"The objective of the project outlined by the National Institute on Drug Abuse (NIDA) is to stimulate research into the roles of endocannabinoids and the impact of cannabinoid exposure on brain development from fetal stages through young adulthood. This research is crucial due to the rising use of cannabis and cannabinoids among pregnant individuals and young adults, which may lead to psychiatric, cognitive, and behavioral disorders over a person's life. The project aims to understand how the endocannabinoid system, which is vital for brain development, is affected by cannabinoids like THC. This includes studying the system's influence on neurogenesis, neuronal and glial differentiation, axonal growth, and synaptic and neural circuit development. The research will address gaps in knowledge about how exogenous cannabinoid exposure disrupts brain development, potentially explaining the increased risk of psychosis, substance use, and behavioral problems in offspring exposed to cannabis during pregnancy. The NOSI encourages grant applications for research in this area, with application due dates starting on June 5, 2024, and continuing through May 8, 2028.",vU6ptrWGzDdSTbKkUctwNLZxbjZIH6uISHMv1jhGUjo=,NIH202404
NIH,202404,,wuwATCnQhG1v9j07RIUODKf/qOMS6y1j340pCcNjU2g=,NIH202404
NIH,202404,,Mq9twZGW//YwxYiXzE5LQAMeut4GUcm8sUW01ZmDhso=,NIH202404
NIH,202404,,Tt/Lwx6g/Turtjw8EIxog1f+behpaB+EWVJa+SNiWRg=,NIH202404
NIH,202404,"The objective of the project outlined in the Notice of Special Interest (NOSI) is to promote the reuse of data and secondary data analysis in NIH-funded data repositories and knowledgebases to advance scientific inquiry and address health research questions. The initiative aims to enhance the data science infrastructure and foster a data ecosystem that encourages the discovery, use, and reuse of data, in line with the NIH’s Strategic Plan for Data Science. It seeks to support researchers, especially those early in their careers or from institutions with limited resources, by leveraging the improved availability and quality of data resulting from NIH’s data sharing efforts and the establishment of data documentation and metadata standards. The project emphasizes the importance of adhering to the FAIR principles (findable, accessible, interoperable, and reusable) to strengthen research reproducibility and maximize the utility and impact of NIH-funded data resources. The ultimate goal is to drive advancements in biomedical, behavioral, clinical, or health-related research through data reuse and secondary data analysis.",QuOK7lu5cRGk+rU588z0KhEHYWE2mKpJPRzvwdfPrkw=,NIH202404
NIH,202404,"The objective of the project outlined in this Notice of Funding Opportunity (NOFO) is to support research that aims to enhance, transform, and expand the delivery of HIV testing, prevention, and care services through pharmacists and pharmacies both within the United States and globally. The project seeks to develop training curricula for pharmacy students, pharmacists, pharmacies, and pharmacy systems to provide HIV services effectively, equitably, and efficiently. The research funded by this NOFO will address challenges in pharmacy-based HIV service delivery, scale promising pilot programs, and create innovative models for delivering HIV services, potentially including mobile services and telehealth. The ultimate goal is to leverage the role of pharmacists and pharmacies in public health and healthcare delivery to improve access to HIV services and implement successful models on a larger scale.",Okkt2UTeOJu2FH3w3usu1as0knao6IaPBu2Qed3u9VM=,NIH202404
NIH,202404,"The objective of this Notice of Funding Opportunity (NOFO) is to encourage research that aims to enhance, transform, and expand the provision of HIV testing, prevention, and care services through the involvement of pharmacists and pharmacies both within the United States and globally. The research solicited by this NOFO seeks to develop and improve training curricula for pharmacy students, pharmacists, pharmacies, and pharmacy systems, enabling them to offer a full range of HIV services effectively, equitably, and efficiently. The ultimate goal is to leverage the unique position of pharmacists and pharmacies in communities to improve access to HIV services and integrate them into a comprehensive HIV prevention and care strategy. This NOFO utilizes the R21 grant mechanism to support exploratory and developmental research projects that may lack preliminary data or aim to pilot innovative interventions.",3hjjfdbGFWrbwh8Z7y1hNyJ91U5G216eD23TOw0XL5c=,NIH202404
NIH,202404,"The objective of the project, supported by the Fogarty International Center (FIC) and funded by the Office of AIDS Research (OAR), is to address critical gaps in the understanding of the impact of HIV on the health of Women Living With HIV (WLWH), particularly in Low- and Middle-Income Countries (LMICs). The project aims to provide research training to candidates from LMICs, including early-stage trainees, early-career researchers, and new investigators interested in women’s health issues related to HIV. The initiative seeks to enhance the capacity for HIV and women’s health research, focusing on prevention, treatment, and care for WLWH across their lifespan. It will support activities such as mentored research projects, pilot studies, and training programs to build a network of researchers and improve health outcomes for WLWH. The project also emphasizes the need to understand the intersectionality of HIV infection with women's health, including the physiological effects of HIV and antiretroviral therapy (ART), and aims to develop strategies to address health disparities and improve preventive and therapeutic care for WLWH globally.",daj1R1wyv8WXjgB1nIVaIflaj1+Y08SizaHLtIIxSDQ=,NIH202404
NIH,202404,"The objective of the project is to support the Type 1 Diabetes TrialNet Clinical Network Hub (HUB), which serves as a coordination unit for clinical trials aimed at preventing and providing early intervention for type 1 diabetes (T1D). The HUB's main goals are to enhance the efficiency and productivity of the TrialNet network by coordinating communications and outreach, and by developing new tools and approaches to increase screening, recruitment, and retention of trial participants. The project emphasizes the importance of a Plan for Enhancing Diverse Perspectives (PEDP) to ensure inclusivity in research, which will be evaluated during the peer review process. The HUB will work closely with the TrialNet Coordinating Center (TNCC), clinical centers, and other partners to implement trials and studies, with a focus on increasing participation from diverse and underrepresented groups. The project aims to improve understanding of T1D and develop interventions to preserve insulin production and halt disease progression.",l/+1oQjLpDozsXiPvPdoek/COxPeAyh2j/e2RnKo6MU=,NIH202404
